material_id,pretty_formula,formula_anonymous
mp-1096812,Ag2SnSe3,AB2C3
mp-1096820,AlAgS2,ABC2
mp-1096824,AlAgO2,ABC2
mp-1096972,GaAgS2,ABC2
mp-1097134,La2CdAg,ABC2
mp-1097139,ZnGaAg2,ABC2
mp-1097188,La2AgAu,ABC2
mp-1097232,Y2ZnAg,ABC2
mp-1097276,LaAg2Au,ABC2
mp-1097284,AgSnRh2,ABC2
mp-1097365,Ba2ZnAg,ABC2
mp-1097413,NaLaAg2,ABC2
mp-1097584,YGaAg2,ABC2
mp-1097591,Mg2InAg,ABC2
mp-1097612,NaAg2Sn,ABC2
mp-1097668,LiAg2Sb,ABC2
mp-1101326,Ta3AgO8,AB3C8
mp-1101606,YAgSe2,ABC2
mp-1101762,PrAl2Ag,ABC2
mp-11020,GaAgO2,ABC2
mp-11022,ScAgO2,ABC2
mp-1105645,Ag3SBr,ABC3
mp-1106117,La5AgPb3,AB3C5
mp-11069,YbAgSn,ABC
mp-1120715,Ag3BiBr6,AB3C6
mp-11214,CaAgSb,ABC
mp-11234,PrMg2Ag,ABC2
mp-11235,SmMg2Ag,ABC2
mp-1173065,LuAgS2,ABC2
mp-1178561,AgClO3,ABC3
mp-1178562,AgBrO3,ABC3
mp-1178578,Ag2CO3,AB2C3
mp-1180484,MnAgO4,ABC4
mp-1181462,DyAgSe2,ABC2
mp-1182994,AgC2N3,AB2C3
mp-1183033,AgSO4,ABC4
mp-1183552,CaPmAg2,ABC2
mp-1183725,Ce2AgSn,ABC2
mp-1183800,DyErAg2,ABC2
mp-1183896,Eu2AgGe,ABC2
mp-1183902,Eu2AgPd,ABC2
mp-1184131,Er2AgOs,ABC2
mp-1184234,FeAgO3,ABC3
mp-1184253,ErTmAg2,ABC2
mp-1184352,Gd2AgHg,ABC2
mp-1184463,EuAg2Pb,ABC2
mp-1184631,Ho2AgRu,ABC2
mp-1184662,Ho2GaAg,ABC2
mp-1184835,HoTmAg2,ABC2
mp-1184969,Li2AgGe,ABC2
mp-1184976,Li2CdAg,ABC2
mp-1184977,Li2AgBi,ABC2
mp-1184979,Li2AgPb,ABC2
mp-1185507,LuAgHg2,ABC2
mp-1185602,La2GaAg,ABC2
mp-1185824,MgAgAu2,ABC2
mp-1186101,NaAgO3,ABC3
mp-1186236,Nd2CdAg,ABC2
mp-1186238,Nd2GaAg,ABC2
mp-1186295,NdCdAg2,ABC2
mp-1186310,NdEuAg2,ABC2
mp-1186519,PrEuAg2,ABC2
mp-1186684,Pr2GaAg,ABC2
mp-1187000,Sm2GaAg,ABC2
mp-1187189,TaAgO3,ABC3
mp-1187520,YbSmAg2,ABC2
mp-1187589,Tm2TcAg,ABC2
mp-1187701,Y2AgHg,ABC2
mp-1187711,Y2GaAg,ABC2
mp-1187720,Y2AgAu,ABC2
mp-1187818,YbAg2Pb,ABC2
mp-1187926,ZnAgPd2,ABC2
mp-1187942,YbAgHg2,ABC2
mp-1188652,TmAgSe2,ABC2
mp-1195464,Ag3RuO4,AB3C4
mp-1196324,AgSO4,ABC4
mp-1197575,Ag2AsS2,AB2C2
mp-1198391,LaAgAs2,ABC2
mp-1199297,HoAgS2,ABC2
mp-1200242,GdAgS2,ABC2
mp-1200271,AgPd3Se,ABC3
mp-1202965,Nb4Ag2O11,A2B4C11
mp-1203027,Ga40AgMo8,AB8C40
mp-1203398,Ta4Ag2O11,A2B4C11
mp-1203481,NbAgO3,ABC3
mp-1203532,K4Ag18Te11,A4B11C18
mp-1205335,RbAg3S2,AB2C3
mp-1205591,AlAg3F6,AB3C6
mp-1206043,TbAgAs2,ABC2
mp-1206101,AgPbF6,ABC6
mp-1206152,Si(AgP)2,AB2C2
mp-1206286,PrAgGe,ABC
mp-1206915,CoAgF3,ABC3
mp-1207047,Tm2AgSb3,AB2C3
mp-1207284,Ag(BiSe2)3,AB3C6
mp-1207671,YAgS2,ABC2
mp-1207868,UAgF6,ABC6
mp-1208047,TmAgS2,ABC2
mp-1208279,Ti5AgSn3,AB3C5
mp-1209766,NiAgF3,ABC3
mp-1214923,AlAgF4,ABC4
mp-1214931,AgIO2,ABC2
mp-1214935,Ag3Bi8S13,A3B8C13
mp-1215074,Ag3Pd13Pb6,A3B6C13
mp-1215094,Ag(AsSe2)3,AB3C6
mp-1215096,Ag3SI3,AB3C3
mp-1215344,Zr8AgPd3,AB3C8
mp-1215421,YbAgS2,ABC2
mp-1215519,ZnCdAg2,ABC2
mp-1216005,YAgSn2,ABC2
mp-1216540,TmAgS2,ABC2
mp-1216570,TmAgTe2,ABC2
mp-1217143,Ti3AgS6,AB3C6
mp-1217615,TbAgSn2,ABC2
mp-1217670,Tb2ZnAg,ABC2
mp-1217680,Tb2AgPd,ABC2
mp-1218056,Ta4AgS8,AB4C8
mp-1218537,SrAgGe,ABC
mp-1218586,Sr3CaAg4,AB3C4
mp-1219201,Sm2Co16Ag,AB2C16
mp-1219913,Pr2CuAg,ABC2
mp-1220530,Nd2(CuAg)5,A2B5C5
mp-1220596,Nb4AgS8,AB4C8
mp-1220696,Nb2AgS4,AB2C4
mp-1221198,Na4AgCl5,AB4C5
mp-1221985,MgCdAg2,ABC2
mp-1222139,Mg4CdAg5,AB4C5
