mp_id,formula,anonymous_formulas,C3
mp-1186533,PmBeO3,ABC3,O3
mp-1186742,PrBeO3,ABC3,O3
mp-1187465,TiBeO3,ABC3,O3
mp-1187752,UBeO3,ABC3,O3
mp-1187905,YbBeO3,ABC3,O3
mp-1188011,ZrBeO3,ABC3,O3
mp-1202955,MnBiO3,ABC3,O3
mp-1207000,DyBiO3,ABC3,O3
mp-1239170,ZrBeO3,ABC3,O3
mp-550008,ScBiO3,ABC3,O3
mp-555351,FeBiO3,ABC3,O3
mp-555769,ScBiO3,ABC3,O3
mp-556711,MnBiO3,ABC3,O3
mp-559851,CrBiO3,ABC3,O3
mp-561102,InBiO3,ABC3,O3
mp-645159,FeBiO3,ABC3,O3
mp-754636,ErBiO3,ABC3,O3
mp-755003,LaBiO3,ABC3,O3
mp-755382,BiSbO3,ABC3,O3
mp-755893,CaBiO3,ABC3,O3
mp-756282,VBiO3,ABC3,O3
mp-770830,HoBiO3,ABC3,O3
mp-778408,HgBiO3,ABC3,O3
mp-972222,TaBeO3,ABC3,O3
mp-972395,TmBeO3,ABC3,O3
mp-973396,KBeO3,ABC3,O3
mp-973930,NpBeO3,ABC3,O3
mp-975394,RbBeO3,ABC3,O3
mp-975579,NdBeO3,ABC3,O3
mp-976727,PrBiO3,ABC3,O3
mp-984722,BeGaO3,ABC3,O3
mvc-13598,YBiO3,ABC3,O3
mp-1106239,MnBiO3,ABC3,O3
mp-1178485,BiCO3,ABC3,O3
mp-1184051,CuBiO3,ABC3,O3
mp-1188346,CoBiO3,ABC3,O3
mp-22949,FeBiO3,ABC3,O3
mp-22979,GaBiO3,ABC3,O3
mp-23054,NaBiO3,ABC3,O3
mp-23456,CrBiO3,ABC3,O3
mp-23477,MnBiO3,ABC3,O3
mp-25096,NiBiO3,ABC3,O3
mp-29077,LiBiO3,ABC3,O3
mp-29164,SrBiO3,ABC3,O3
mp-545379,InBiO3,ABC3,O3
mp-547069,FeBiO3,ABC3,O3
mp-551451,FeBiO3,ABC3,O3
mp-558285,GaBiO3,ABC3,O3
mp-676536,KBiO3,ABC3,O3
mp-754009,ScBiO3,ABC3,O3
mp-754943,ErBiO3,ABC3,O3
mp-755568,GaBiO3,ABC3,O3
mp-756205,ScBiO3,ABC3,O3
mp-772801,LuBiO3,ABC3,O3
mp-867749,CaBiO3,ABC3,O3
mp-971706,ZnBiO3,ABC3,O3
mp-974581,ReBiO3,ABC3,O3
mp-975384,RbBiO3,ABC3,O3
mvc-15941,YBiO3,ABC3,O3
mp-1069079,FeBiO3,ABC3,O3
mp-1105271,MnBiO3,ABC3,O3
mp-1105718,NiBiO3,ABC3,O3
mp-1176501,LuBiO3,ABC3,O3
mp-1178162,HoBiO3,ABC3,O3
mp-1178493,CaBiO3,ABC3,O3
mp-1182718,FeBiO3,ABC3,O3
mp-1183469,BiPtO3,ABC3,O3
mp-1184562,GeBiO3,ABC3,O3
mp-1185847,MgBiO3,ABC3,O3
mp-1187744,VBiO3,ABC3,O3
mp-23532,NiBiO3,ABC3,O3
mp-555313,ScBiO3,ABC3,O3
mp-556892,InBiO3,ABC3,O3
mp-573119,BiRhO3,ABC3,O3
mp-676312,YbBiO3,ABC3,O3
mp-754300,HoBiO3,ABC3,O3
mp-755216,TmBiO3,ABC3,O3
mp-755478,CdBiO3,ABC3,O3
mp-768221,YBiO3,ABC3,O3
mp-768310,LaBiO3,ABC3,O3
mp-863367,KBiO3,ABC3,O3
mp-972827,SiBiO3,ABC3,O3
mp-974740,NdBiO3,ABC3,O3
mp-982040,KBiO3,ABC3,O3
mp-983578,CsBiO3,ABC3,O3
mp-998363,NiBiO3,ABC3,O3
mp-998527,NiBiO3,ABC3,O3
mvc-3479,YBiO3,ABC3,O3
mvc-3850,CaBiO3,ABC3,O3
mvc-3874,ZnBiO3,ABC3,O3
mp-1101383,ScBiO3,ABC3,O3
mp-1183479,BiMoO3,ABC3,O3
mp-1194603,MnBiO3,ABC3,O3
mp-23339,NaBrO3,ABC3,O3
mp-23501,FeBiO3,ABC3,O3
mp-29526,BrNO3,ABC3,O3
mp-29799,KBiO3,ABC3,O3
mp-545522,CoBiO3,ABC3,O3
mp-546027,CrBiO3,ABC3,O3
mp-548231,FeBiO3,ABC3,O3
mp-608595,NaBrO3,ABC3,O3
mp-655631,FeBiO3,ABC3,O3
mp-754152,YBiO3,ABC3,O3
mp-754323,TmBiO3,ABC3,O3
mvc-15669,MgBiO3,ABC3,O3
mvc-15745,YBiO3,ABC3,O3
mp-22958,KBrO3,ABC3,O3
mp-27994,HgBrO3,ABC3,O3
mp-28872,RbBrO3,ABC3,O3
mp-29798,TlBrO3,ABC3,O3
mp-1105697,PbCO3,ABC3,O3
mp-1178374,CuCO3,ABC3,O3
mp-1180213,NaBrO3,ABC3,O3
mp-1197831,LiBrO3,ABC3,O3
mp-19893,PbCO3,ABC3,O3
mp-27249,CuCO3,ABC3,O3
mp-28873,CsBrO3,ABC3,O3
mp-3822,SrCO3,ABC3,O3
mp-4626,CaCO3,ABC3,O3
